state,county,fips,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category_name,federal_supply_class,federal_supply_class_name
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
AK,ANCHORAGE,2020,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-08-30,WEAPONS,1005,"Guns, through 30 mm"
